occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
51-4023,"Rolling machine setters, operators, and tenders, metal and plastic",,         37500,       3.6,         15.02,         31240,           0.9,          9.24,         11.46,         14.65,         18.06,         21.50,         19220,         23840,         30480,         37570,         44730,,
51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",,        265480,       1.3,         13.13,         27310,           0.4,          8.31,          9.98,         12.49,         15.68,         19.39,         17290,         20760,         25980,         32620,         40330,,
51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",,         43180,       2.5,         14.72,         30610,           1.1,          9.18,         11.14,         13.85,         17.43,         22.06,         19090,         23160,         28800,         36260,         45880,,
51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",,        101530,       1.6,         14.23,         29600,           0.7,          8.57,         10.39,         13.34,         16.98,         21.52,         17830,         21620,         27740,         35310,         44760,,
51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",,         71410,       2.1,         15.74,         32750,           0.7,          9.75,         12.10,         15.26,         18.91,         22.94,         20290,         25170,         31750,         39330,         47720,,
51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic",,         29140,       2.8,         15.44,         32120,           0.8,          9.52,         11.85,         15.13,         18.56,         21.85,         19810,         24650,         31460,         38600,         45450,,
51-4041,Machinists,,        368380,       1.0,         17.00,         35350,           0.4,         10.26,         13.09,         16.51,         20.53,         24.87,         21340,         27220,         34350,         42690,         51720,,
51-4051,Metal-refining furnace operators and tenders,,         17960,       4.3,         16.26,         33820,           1.0,         10.60,         12.76,         15.83,         19.41,         22.77,         22040,         26540,         32920,         40370,         47360,,
51-4052,"Pourers and casters, metal",,         14340,       3.6,         14.73,         30650,           1.2,          9.37,         11.31,         14.02,         17.15,         21.17,         19500,         23530,         29160,         35680,         44030,,
51-4061,"Model makers, metal and plastic",,          8120,       3.7,         22.26,         46300,           3.4,         11.50,         15.81,         21.62,         30.18,         33.91,         23920,         32890,         44970,         62770,         70530,,
51-4062,"Patternmakers, metal and plastic",,          6850,       7.3,         17.74,         36900,           2.7,          9.34,         12.38,         16.57,         22.80,         28.04,         19430,         25750,         34460,         47420,         58330,,
51-4071,Foundry mold and coremakers,,         15890,       7.7,         14.87,         30920,           1.8,          9.34,         11.41,         13.95,         17.36,         22.83,         19430,         23730,         29010,         36120,         47480,,
51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",,        157080,       1.8,         12.82,         26680,           0.7,          8.00,          9.60,         12.05,         15.22,         19.06,         16640,         19970,         25060,         31650,         39650,,
51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",,         98120,       2.6,         15.17,         31550,           1.4,          9.06,         11.20,         14.32,         18.31,         23.84,         18850,         23290,         29780,         38090,         49600,,
51-4111,Tool and die makers,,         99680,       1.7,         21.61,         44940,           0.7,         13.70,         17.14,         20.95,         26.41,         31.83,         28500,         35660,         43580,         54930,         66200,,
51-4121,"Welders, cutters, solderers, and brazers",,        358050,       0.9,         15.52,         32280,           0.3,          9.85,         12.01,         14.90,         18.21,         22.06,         20480,         24990,         30990,         37870,         45890,,
51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",,         45220,       2.6,         15.55,         32350,           1.8,          9.59,         11.74,         14.63,         18.36,         24.17,         19940,         24430,         30430,         38190,         50270,,
51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic",,         26310,       2.8,         14.97,         31130,           0.8,          9.28,         11.43,         14.57,         17.92,         21.54,         19300,         23770,         30300,         37270,         44800,,
51-4192,"Lay-out workers, metal and plastic",,         10970,       3.5,         16.56,         34440,           1.8,          9.79,         12.71,         16.03,         19.80,         23.92,         20360,         26440,         33350,         41170,         49750,,
51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic",,         40550,       2.7,         13.67,         28420,           0.9,          8.52,         10.16,         12.86,         16.39,         20.42,         17720,         21130,         26740,         34090,         42470,,
51-4194,"Tool grinders, filers, and sharpeners",,         18180,       2.9,         15.64,         32530,           1.0,          9.37,         11.62,         15.05,         19.11,         23.01,         19490,         24170,         31310,         39750,         47860,,
51-4199,"Metal workers and plastic workers, all other",,         49650,       3.0,         17.97,         37380,           2.1,          9.08,         11.81,         17.06,         24.38,         27.80,         18890,         24560,         35480,         50700,         57830,,
51-5011,Bindery workers,,         64330,       3.0,         12.92,         26880,           0.8,          7.78,          9.46,         12.04,         15.75,         19.94,         16190,         19680,         25050,         32760,         41470,,
51-5012,Bookbinders,,          7660,       9.5,         14.52,         30200,           2.2,          8.21,         10.22,         14.04,         18.35,         21.21,         17080,         21260,         29200,         38170,         44120,,
51-5021,Job printers,,         50580,       3.4,         16.02,         33320,           1.0,          9.45,         11.92,         15.35,         19.44,         24.09,         19660,         24790,         31920,         40430,         50110,,
51-5022,Prepress technicians and workers,,         72050,       2.2,         16.53,         34380,           0.8,          9.34,         11.96,         15.79,         20.36,         25.38,         19430,         24880,         32840,         42350,         52800,,
51-5023,Printing machine operators,,        192520,       1.4,         15.61,         32470,           0.8,          8.87,         11.08,         14.77,         19.34,         23.97,         18450,         23050,         30730,         40230,         49870,,
51-6011,Laundry and dry-cleaning workers,,        218360,       1.1,          8.87,         18450,           0.4,          6.33,          7.21,          8.38,         10.17,         12.30,         13160,         15000,         17440,         21150,         25580,,
51-6021,"Pressers, textile, garment, and related materials",,         78620,       2.0,          8.76,         18220,           0.6,          6.36,          7.33,          8.45,         10.05,         11.44,         13240,         15250,         17570,         20910,         23800,,
51-6031,Sewing machine operators,,        233130,       1.6,          9.55,         19860,           0.5,          6.67,          7.53,          8.82,         10.90,         13.50,         13870,         15660,         18340,         22680,         28080,,
51-6041,Shoe and leather workers and repairers,,          7680,       6.8,         10.11,         21030,           1.4,          6.93,          7.98,          9.62,         11.33,         13.92,         14410,         16590,         20010,         23570,         28960,,
51-6042,Shoe machine operators and tenders,,          3850,      12.2,         10.31,         21440,           1.7,          7.18,          8.12,          9.90,         12.16,         14.00,         14940,         16890,         20600,         25300,         29120,,
51-6051,"Sewers, hand",,         11090,       7.4,         10.61,         22060,           2.9,          6.60,          7.70,          9.51,         12.02,         17.41,         13720,         16010,         19770,         24990,         36210,,
51-6052,"Tailors, dressmakers, and custom sewers",,         30150,       4.4,         11.79,         24530,           1.2,          7.34,          8.90,         10.95,         13.85,         17.24,         15270,         18510,         22770,         28820,         35850,,
51-6061,Textile bleaching and dyeing machine operators and tenders,,         21660,       3.9,         11.16,         23200,           1.1,          7.68,          9.04,         10.80,         12.93,         15.26,         15980,         18800,         22460,         26880,         31740,,
51-6062,"Textile cutting machine setters, operators, and tenders",,         21420,       4.3,         10.83,         22530,           0.9,          7.34,          8.48,         10.30,         12.69,         15.40,         15270,         17640,         21430,         26390,         32030,,
51-6063,"Textile knitting and weaving machine setters, operators, and tenders",,         42760,       2.7,         11.41,         23740,           0.7,          7.86,          9.44,         11.40,         13.21,         15.31,         16350,         19630,         23710,         27490,         31850,,
51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",,         47670,       2.7,         11.30,         23510,           0.6,          8.66,          9.64,         11.04,         12.88,         14.35,         18020,         20050,         22960,         26780,         29840,,
51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",,         23040,       7.1,         14.20,         29540,           1.4,          9.22,         11.19,         13.82,         16.86,         20.24,         19180,         23280,         28750,         35070,         42100,,
51-6092,Fabric and apparel patternmakers,,          9650,       5.9,         17.62,         36660,           2.6,          8.52,         10.94,         15.07,         22.83,         31.87,         17710,         22750,         31340,         47490,         66290,,
51-6093,Upholsterers,,         41040,       2.9,         13.46,         27990,           1.0,          8.07,         10.02,         12.84,         16.32,         20.13,         16780,         20840,         26710,         33940,         41860,,
51-6099,"Textile, apparel, and furnishings workers, all other",,         24740,       5.9,         11.35,         23610,           1.4,          7.16,          8.64,         11.01,         13.42,         16.29,         14890,         17970,         22900,         27910,         33870,,
51-7011,Cabinetmakers and bench carpenters,,        121660,       2.0,         13.29,         27650,           0.6,          8.17,          9.89,         12.51,         16.05,         19.97,         17000,         20570,         26020,         33380,         41530,,
51-7021,Furniture finishers,,         24610,       3.0,         12.60,         26200,           0.8,          7.93,          9.55,         11.83,         14.67,         18.86,         16490,         19860,         24600,         30510,         39230,,
51-7031,"Model makers, wood",,          2280,       7.7,         15.71,         32680,           7.3,          8.31,         10.38,         13.46,         17.93,         30.81,         17280,         21590,         27990,         37290,         64080,,
