CIP_Code,CIP_Desc,credential_level_tags,year,avg_debt_debt_all_stgp_any_mean,avg_postgrad_earnings,avg_income_a_mean_broad_detailed,weighted_income_a_mean_by_tot_emp,avg_income_a_pct10_broad_detailed,avg_income_a_pct90_broad_detailed,sum_employment_tot_emp
0501,African Studies.,Bachelor's Degree|Undergraduate Certificate or Diploma,2018,20253,34108,85450,85450,36380,153790,9850
0501,African Studies.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,19916,32016,88410,88410,38610,157030,10600
0501,African Studies.,Bachelor's Degree|Undergraduate Certificate or Diploma,2020,19563,,88790,88790,40800,153900,9960
0502,African-American/Black Studies.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2016,22637,,67925,56259,32160,115825,60410
0502,African-American/Black Studies.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2017,22623,27221,67560,56721,30630,116560,63000
0502,African-American/Black Studies.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate,2018,21789,29870,70340,59673,31805,122200,66990
0502,African-American/Black Studies.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2019,21936,29170,72705,61793,33390,125700,69470
0502,African-American/Black Studies.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2020,21694,,73465,62705,35270,125190,66880
0901,"Communication and Media Studies, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,24187,,62266,64458,28524,105644,518410
0901,"Communication and Media Studies, Other.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2017,24356,32163,63529,65985,29264,106521,527700
0901,"Communication and Media Studies, Other.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2018,24122,34459,64967,67089,29910,109347,532990
0901,"Communication and Media Studies, Other.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2019,24071,33398,65958,68097,29904,114176,595830
0901,"Communication and Media Studies, Other.",Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2020,23045,,68608,70466,31165,119479,582540
0904,Broadcast Journalism.,Associate's Degree|Bachelor's Degree,2016,22880,,60714,62656,25766,106373,289220
0904,Broadcast Journalism.,Associate's Degree|Bachelor's Degree,2017,22546,29672,61417,63660,26727,106603,291050
